end_of_month,preliminary,eur_sgd,gbp_sgd,usd_sgd,aud_sgd,cad_sgd,cny_sgd_100,hkd_sgd_100,inr_sgd_100,idr_sgd_100,jpy_sgd_100,krw_sgd_100,myr_sgd_100,twd_sgd_100,nzd_sgd,php_sgd_100,qar_sgd_100,sar_sgd_100,chf_sgd,thb_sgd_100,aed_sgd_100,vnd_sgd_100,timestamp
2023-09,0,1.4432,1.6677,1.3648,0.8812,1.0121,18.69,17.44,1.6420,0.008806,0.9136,0.1012,29.10,4.2442,0.8187,2.4061,37.43,36.39,1.4933,3.7298,37.16,0.005610,1696371257
2023-08,0,1.4746,1.7176,1.3503,0.8757,0.9972,18.52,17.21,1.6346,0.008863,0.9251,0.1020,29.10,4.2329,0.8045,2.3799,37.04,35.99,1.5372,3.8617,36.76,0.005612,1696371257
2023-07,0,1.4665,1.7112,1.3318,0.8891,1.0049,18.63,17.07,1.6192,0.008824,0.9396,0.1045,29.34,4.2371,0.8238,2.4298,36.54,35.51,1.5283,3.8838,36.26,0.005622,1696371257
2023-06,0,1.4739,1.7107,1.3557,0.8983,1.0233,18.70,17.30,1.6529,0.009042,0.9364,0.1027,28.97,4.3565,0.8252,2.4501,37.18,36.15,1.5088,3.8027,36.91,0.005748,1696371257
2023-05,0,1.4483,1.6772,1.3539,0.8792,0.9927,19.06,17.28,1.6369,0.009029,0.9685,0.1023,29.33,4.4059,0.8128,2.4083,37.14,36.10,1.4907,3.8971,36.86,0.005763,1696371257
2023-04,0,1.4701,1.6668,1.3340,0.8843,0.9807,19.29,16.99,1.6315,0.009116,0.9999,0.0996,29.92,4.3437,0.8208,2.4046,36.60,35.56,1.4923,3.9102,36.32,0.005687,1696371257
2023-03,0,1.4473,1.6452,1.3270,0.8916,0.9814,19.34,16.90,1.6161,0.008867,0.9995,0.1025,30.09,4.3574,0.8345,2.4433,36.30,35.35,1.4524,3.8913,36.13,0.005644,1696371257
2023-02,0,1.4279,1.6244,1.3480,0.9080,0.9926,19.44,17.18,1.6299,0.008846,0.9895,0.1021,30.06,4.3952,0.8303,2.4406,36.92,35.92,1.4397,3.8447,36.70,0.005668,1696371257
2023-01,0,1.4252,1.6222,1.3142,0.9246,0.9800,19.45,16.77,1.6098,0.008765,1.0090,0.1067,30.94,4.3744,0.8479,2.4104,35.90,35.01,1.4209,4.0121,35.78,0.005605,1696371257
2022-12,0,1.4331,1.6194,1.3446,0.9105,0.9921,19.33,17.24,1.6253,0.008632,1.0135,0.1065,30.47,4.3647,0.8501,2.4136,36.80,35.76,1.4565,3.8934,36.61,0.005704,1696371257
